"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","96.46","96.58","96.76","96.42","9.26M","-0.04%"
"29/09/2025","96.50","96.34","96.55","96.32","6.36M","0.29%"
"26/09/2025","96.22","96.25","96.43","96.13","7.30M","-0.05%"
"25/09/2025","96.27","96.26","96.32","96.10","6.52M","-0.22%"
"24/09/2025","96.48","96.62","96.63","96.44","5.42M","-0.27%"
"23/09/2025","96.74","96.61","96.75","96.49","7.08M","0.28%"
"22/09/2025","96.47","96.63","96.66","96.46","5.28M","-0.17%"
"19/09/2025","96.63","96.62","96.70","96.50","5.53M","-0.04%"
"18/09/2025","96.67","96.65","96.81","96.50","7.59M","-0.33%"
"17/09/2025","96.99","97.30","97.51","96.87","10.70M","-0.22%"
"16/09/2025","97.20","97.15","97.29","97.11","5.85M","0.06%"
"15/09/2025","97.14","97.15","97.22","97.10","4.99M","0.16%"
"12/09/2025","96.98","97.03","97.04","96.84","36.50M","-0.29%"
"11/09/2025","97.26","97.24","97.46","97.22","8.55M","0.15%"
"10/09/2025","97.11","97.05","97.23","96.96","8.86M","0.27%"
"09/09/2025","96.85","97.03","97.14","96.76","8.22M","-0.24%"
"08/09/2025","97.08","97.02","97.09","96.92","7.60M","0.31%"
"05/09/2025","96.78","96.91","97.01","96.78","9.57M","0.49%"
"04/09/2025","96.31","96.12","96.31","96.00","6.40M","0.45%"
"03/09/2025","95.88","95.56","96.01","95.56","7.59M","0.35%"
"02/09/2025","95.55","95.46","95.63","95.43","8.62M","-0.62%"
