"Date","Price","Open","High","Low","Change %"
"17/10/2025","1.625","1.641","1.642","1.614","-1.93%"
"16/10/2025","1.657","1.659","1.665","1.647","0.36%"
"15/10/2025","1.651","1.663","1.673","1.648","-0.60%"
"14/10/2025","1.661","1.663","1.682","1.654","-1.89%"
"13/10/2025","1.693","1.693","1.693","1.693","0.18%"
"10/10/2025","1.690","1.695","1.704","1.685","-0.24%"
"09/10/2025","1.694","1.695","1.697","1.684","-0.12%"
"08/10/2025","1.696","1.684","1.699","1.683","1.13%"
"07/10/2025","1.677","1.699","1.701","1.669","0.06%"
"06/10/2025","1.676","1.663","1.681","1.659","0.90%"
"03/10/2025","1.661","1.670","1.674","1.660","-0.12%"
"02/10/2025","1.663","1.643","1.663","1.634","0.79%"
"01/10/2025","1.650","1.650","1.658","1.633","0.12%"
"30/09/2025","1.648","1.645","1.656","1.626","0.37%"
"29/09/2025","1.642","1.652","1.656","1.632","-1.02%"
"26/09/2025","1.659","1.650","1.660","1.642","0.73%"
"25/09/2025","1.647","1.652","1.659","1.640","0.37%"
"24/09/2025","1.641","1.652","1.652","1.639","-1.08%"
"23/09/2025","1.659","1.662","1.659","1.659","0.24%"
"22/09/2025","1.655","1.643","1.668","1.635","0.85%"
"19/09/2025","1.641","1.612","1.646","1.608","2.56%"
"18/09/2025","1.600","1.601","1.605","1.589","0.25%"
"17/09/2025","1.596","1.609","1.611","1.595","-0.62%"
"16/09/2025","1.606","1.599","1.611","1.585","0.75%"
"15/09/2025","1.594","1.594","1.594","1.594","-0.13%"
"12/09/2025","1.596","1.580","1.596","1.579","1.27%"
"11/09/2025","1.576","1.568","1.580","1.559","0.70%"
"10/09/2025","1.565","1.577","1.588","1.560","0.26%"
"09/09/2025","1.561","1.555","1.566","1.540","-0.64%"
"08/09/2025","1.571","1.569","1.582","1.560","0.00%"
"05/09/2025","1.571","1.601","1.601","1.570","-2.18%"
"04/09/2025","1.606","1.629","1.629","1.603","-1.65%"
"03/09/2025","1.633","1.618","1.634","1.617","1.87%"
"02/09/2025","1.603","1.629","1.630","1.595","-1.23%"
"01/09/2025","1.623","1.604","1.625","1.603","1.25%"
