"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","103.36","103.34","103.41","103.33","406.60K","0.02%"
"29/09/2025","103.34","103.35","103.37","103.32","1.68M","-0.01%"
"26/09/2025","103.35","103.32","103.38","103.31","769.90K","0.05%"
"25/09/2025","103.30","103.33","103.35","103.25","401.98K","-0.11%"
"24/09/2025","103.41","103.48","103.48","103.41","421.83K","-0.06%"
"23/09/2025","103.47","103.43","103.48","103.39","712.24K","0.08%"
"22/09/2025","103.39","103.45","103.46","103.38","1.03M","-0.09%"
"19/09/2025","103.48","103.50","103.51","103.43","369.81K","-0.01%"
"18/09/2025","103.49","103.50","103.55","103.46","585.47K","-0.05%"
"17/09/2025","103.54","103.57","103.74","103.51","647.81K","-0.05%"
"16/09/2025","103.59","103.55","103.61","103.54","1.78M","0.10%"
"15/09/2025","103.49","103.51","103.55","103.49","439.79K","0.01%"
"12/09/2025","103.48","103.52","103.53","103.47","426.97K","-0.02%"
"11/09/2025","103.50","103.56","103.59","103.49","866.54K","-0.03%"
"10/09/2025","103.53","103.56","103.59","103.51","573.97K","0.00%"
"09/09/2025","103.53","103.61","103.66","103.52","517.30K","-0.06%"
"08/09/2025","103.59","103.61","103.62","103.54","925.43K","0.07%"
"05/09/2025","103.52","103.54","103.57","103.51","579.96K","0.11%"
"04/09/2025","103.41","103.40","103.42","103.36","594.72K","0.03%"
"03/09/2025","103.38","103.30","103.43","103.30","912.55K","0.04%"
"02/09/2025","103.34","103.34","103.39","103.31","1.13M","-0.52%"
