"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","111.22","111.26","111.40","111.18","2.99M","-0.03%"
"29/09/2025","111.25","111.21","111.30","111.16","2.52M","0.13%"
"26/09/2025","111.11","111.16","111.29","111.01","2.79M","0.02%"
"25/09/2025","111.09","111.11","111.17","110.93","4.02M","-0.16%"
"24/09/2025","111.27","111.41","111.43","111.22","2.24M","-0.18%"
"23/09/2025","111.47","111.30","111.47","111.19","2.86M","0.27%"
"22/09/2025","111.17","111.33","111.36","111.15","2.08M","-0.24%"
"19/09/2025","111.44","111.48","111.54","111.31","1.34M","-0.05%"
"18/09/2025","111.50","111.57","111.71","111.32","4.22M","-0.28%"
"17/09/2025","111.81","111.94","112.26","111.65","5.68M","-0.06%"
"16/09/2025","111.88","111.86","111.96","111.80","5.35M","0.09%"
"15/09/2025","111.78","111.74","111.89","111.74","3.59M","0.10%"
"12/09/2025","111.67","111.70","111.72","111.57","2.05M","-0.13%"
"11/09/2025","111.82","111.77","111.96","111.76","4.16M","0.16%"
"10/09/2025","111.64","111.57","111.79","111.48","4.60M","0.15%"
"09/09/2025","111.47","111.67","111.75","111.45","4.94M","-0.20%"
"08/09/2025","111.69","111.64","111.72","111.55","3.82M","0.21%"
"05/09/2025","111.46","111.37","111.46","111.33","4.07M","0.44%"
"04/09/2025","110.97","110.91","110.99","110.78","3.92M","0.15%"
"03/09/2025","110.80","110.55","110.92","110.54","4.70M","0.23%"
"02/09/2025","110.55","110.48","110.60","110.44","5.71M","-0.56%"
