"Date","Price","Open","High","Low","Change %"
"17/10/2025","4.5330","4.4650","4.5550","4.4520","1.21%"
"16/10/2025","4.4790","4.5380","4.5590","4.4720","-1.58%"
"15/10/2025","4.5510","4.5530","4.5620","4.5240","-0.50%"
"14/10/2025","4.5740","4.6300","4.6300","4.5710","-1.68%"
"13/10/2025","4.6520","4.6750","4.6980","4.6440","-0.45%"
"10/10/2025","4.6730","4.7240","4.7350","4.6590","-1.54%"
"09/10/2025","4.7460","4.7170","4.7600","4.7060","0.89%"
"08/10/2025","4.7040","4.7120","4.7280","4.6940","-0.36%"
"07/10/2025","4.7210","4.7430","4.7680","4.7150","-0.30%"
"06/10/2025","4.7350","4.7230","4.7610","4.7160","0.83%"
"03/10/2025","4.6960","4.7070","4.7120","4.6810","0.09%"
"02/10/2025","4.6920","4.6960","4.7490","4.6910","-0.06%"
"01/10/2025","4.6950","4.7330","4.7460","4.6770","-0.06%"
"30/09/2025","4.6980","4.6940","4.7260","4.6870","0.02%"
"29/09/2025","4.6970","4.7200","4.7350","4.6960","-1.05%"
"26/09/2025","4.7470","4.7420","4.7730","4.7150","0.00%"
"25/09/2025","4.7470","4.6770","4.7750","4.6710","1.63%"
"24/09/2025","4.6710","4.6550","4.6990","4.6530","-0.28%"
"23/09/2025","4.6840","4.6950","4.7160","4.6670","-0.45%"
"22/09/2025","4.7050","4.7110","4.7320","4.6890","-0.08%"
"19/09/2025","4.7090","4.7050","4.7290","4.6860","1.14%"
"18/09/2025","4.6560","4.6300","4.6910","4.6100","0.69%"
"17/09/2025","4.6240","4.6280","4.6390","4.6070","-0.28%"
"16/09/2025","4.6370","4.6360","4.6750","4.6270","0.06%"
"15/09/2025","4.6340","4.6560","4.6800","4.6280","-0.45%"
"12/09/2025","4.6550","4.6310","4.6800","4.5970","1.31%"
"11/09/2025","4.5950","4.6440","4.6490","4.5910","-0.71%"
"10/09/2025","4.6280","4.6130","4.6530","4.6080","0.19%"
"09/09/2025","4.6190","4.6250","4.6460","4.5960","0.17%"
"08/09/2025","4.6110","4.6630","4.6710","4.6040","-1.01%"
"05/09/2025","4.6580","4.6890","4.7230","4.6410","-1.19%"
"04/09/2025","4.7140","4.7470","4.7540","4.7100","-0.53%"
"03/09/2025","4.7390","4.8150","4.8600","4.7370","-1.27%"
"02/09/2025","4.8000","4.7820","4.8350","4.7710","1.14%"
"01/09/2025","4.7460","4.7410","4.7700","4.7270","0.70%"
