"Date","Price","Open","High","Low","Change %"
"17/10/2025","4.009","3.957","4.018","3.936","0.83%"
"16/10/2025","3.976","4.032","4.051","3.967","-1.71%"
"15/10/2025","4.045","4.032","4.047","3.999","0.57%"
"14/10/2025","4.022","4.051","4.069","3.998","-0.81%"
"13/10/2025","4.055","4.078","4.085","4.050","-0.52%"
"12/10/2025","4.076","4.059","4.081","4.064","0.62%"
"10/10/2025","4.051","4.136","4.140","4.032","-2.34%"
"09/10/2025","4.148","4.115","4.152","4.108","0.41%"
"08/10/2025","4.131","4.133","4.136","4.096","0.10%"
"07/10/2025","4.127","4.160","4.177","4.113","-0.84%"
"06/10/2025","4.162","4.146","4.168","4.133","1.04%"
"03/10/2025","4.119","4.088","4.125","4.079","0.71%"
"02/10/2025","4.090","4.100","4.127","4.083","-0.39%"
"01/10/2025","4.106","4.160","4.168","4.087","-1.06%"
"30/09/2025","4.150","4.143","4.160","4.106","0.22%"
"29/09/2025","4.141","4.168","4.170","4.135","-1.10%"
"26/09/2025","4.187","4.170","4.197","4.152","0.31%"
"25/09/2025","4.174","4.145","4.201","4.135","0.65%"
"24/09/2025","4.147","4.104","4.152","4.098","0.70%"
"23/09/2025","4.118","4.143","4.149","4.104","-0.65%"
"22/09/2025","4.145","4.139","4.152","4.122","0.14%"
"19/09/2025","4.139","4.110","4.145","4.106","0.85%"
"18/09/2025","4.104","4.081","4.137","4.043","0.69%"
"17/09/2025","4.076","4.032","4.091","3.990","1.24%"
"16/09/2025","4.026","4.037","4.064","4.022","-0.20%"
"15/09/2025","4.034","4.080","4.089","4.030","-0.64%"
"12/09/2025","4.060","4.030","4.083","4.026","1.22%"
"11/09/2025","4.011","4.053","4.070","3.994","-0.52%"
"10/09/2025","4.032","4.086","4.095","4.024","-1.03%"
"09/09/2025","4.074","4.045","4.091","4.040","0.69%"
"08/09/2025","4.046","4.095","4.103","4.038","-0.98%"
"05/09/2025","4.086","4.157","4.168","4.061","-2.16%"
"04/09/2025","4.176","4.211","4.225","4.157","-0.83%"
"03/09/2025","4.211","4.269","4.300","4.201","-1.54%"
"02/09/2025","4.277","4.256","4.306","4.244","0.56%"
"01/09/2025","4.253","4.252","4.280","4.232","0.38%"
